NO_EOR,NOCONTAINER,MATERIAL,QTY
EOR/00000146/01/2023,SPNU2756825,PANEL - INSERT / PATCH 15X15 CM,1.0
EOR/00000146/01/2023,SPNU2756825,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000146/01/2023,SPNU2756825,ISO MARKING - OWNERS CODE REPLACE,2.0
EOR/00000146/01/2023,SPNU2756825,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,2.0
EOR/00000146/01/2023,SPNU2756825,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000146/01/2023,SPNU2756825,GASKET - GASKET SECTION 30 CM,3.0
EOR/00000146/01/2023,SPNU2756825,HINGE - STRAIGHTEN,6.0
EOR/00000146/01/2023,SPNU2756825,GASKET - GASKET AND STRIP RESECURE 60 CM,2.0
EOR/00000146/01/2023,SPNU2756825,DOOR HARDWARE - LOCKING BAR HANDLE STRAIGHTEN,2.0
EOR/00000146/01/2023,SPNU2756825,DOORS - FRAME HORIZONTAL INSERT 15 CM,1.0
EOR/00000146/01/2023,SPNU2756825,GASKET - GASKET SECTION 90 CM,1.0
EOR/00000146/01/2023,SPNU2756825,REAR CORNER POST - REALIGNMENT,1.0
EOR/00000146/01/2023,SPNU2756825,PANEL - WELD 15 CM,1.0
EOR/00000146/01/2023,SPNU2756825,"CROSS MEMBER - STRAIGHTEN, WELD",2.0
EOR/00000146/01/2023,SPNU2756825,FLOORING - PLYWOOD PATCH BY PLATE 30X30 CM,2.0
EOR/00000146/01/2023,SPNU2756825,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000146/01/2023,SPNU2756825,PANEL - INSERT / PATCH 30X30 CM,1.0
EOR/00000146/01/2023,SPNU2756825,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000146/01/2023,SPNU2756825,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,4.0
EOR/00000146/01/2023,SPNU2756825,PANEL - STRAIGHTEN 60X90 CM,3.0
EOR/00000146/01/2023,SPNU2756825,PANEL - WELD 15 CM,2.0
EOR/00000147/01/2023,SPNU2859839,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000147/01/2023,SPNU2859839,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000147/01/2023,SPNU2859839,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000147/01/2023,SPNU2859839,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000147/01/2023,SPNU2859839,HINGE - STRAIGHTEN,4.0
EOR/00000147/01/2023,SPNU2859839,PANEL - STRAIGHTEN 60X90 CM,1.0
EOR/00000147/01/2023,SPNU2859839,PANEL - WELD 15 CM,1.0
EOR/00000147/01/2023,SPNU2859839,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000149/01/2023,SPNU2744125,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000149/01/2023,SPNU2744125,CROSS MEMBER - STRAIGHTEN,3.0
EOR/00000149/01/2023,SPNU2744125,FORKLIFT POCKET - WEB STRAIGHTEN,1.0
EOR/00000149/01/2023,SPNU2744125,GASKET - GASKET AND STRIP RESECURE 30 CM,2.0
EOR/00000149/01/2023,SPNU2744125,"DOOR SILL - ABRASIVE, PAINT",1.0
EOR/00000149/01/2023,SPNU2744125,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000149/01/2023,SPNU2744125,FLOORING - PLYWOOD SECTION 120X120 CM,1.0
EOR/00000149/01/2023,SPNU2744125,HINGE - STRAIGHTEN,4.0
EOR/00000150/01/2023,SPNU2711008,HINGE - WELD,1.0
EOR/00000150/01/2023,SPNU2711008,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000150/01/2023,SPNU2711008,J BAR - INSERT 30 CM,1.0
EOR/00000150/01/2023,SPNU2711008,PANEL - WELD 15 CM,1.0
EOR/00000150/01/2023,SPNU2711008,DOORS - FRAME VERTICAL SECTION 15 CM,1.0
EOR/00000150/01/2023,SPNU2711008,GASKET - GASKET AND STRIP RESECURE 60 CM,1.0
EOR/00000150/01/2023,SPNU2711008,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000150/01/2023,SPNU2711008,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000150/01/2023,SPNU2711008,PANEL - WELD 15 CM,1.0
EOR/00000150/01/2023,SPNU2711008,FLOORING - PLYWOOD SECTION 120X120 CM,1.0
EOR/00000150/01/2023,SPNU2711008,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000150/01/2023,SPNU2711008,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000150/01/2023,SPNU2711008,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000151/01/2023,SPNU2917529,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000151/01/2023,SPNU2917529,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000151/01/2023,SPNU2917529,PANEL - STRAIGHTEN 30X120 CM,1.0
EOR/00000151/01/2023,SPNU2917529,DOOR HARDWARE - LOCKING BAR HANDLE REPLACE,1.0
EOR/00000151/01/2023,SPNU2917529,GASKET - GASKET AND STRIP RESECURE 90 CM,1.0
EOR/00000151/01/2023,SPNU2917529,FLOORING - PLYWOOD SECTION 90X120 CM,1.0
EOR/00000151/01/2023,SPNU2917529,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,1.0
EOR/00000151/01/2023,SPNU2917529,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000151/01/2023,SPNU2917529,DOOR HARDWARE - LOCKING BAR HANDLE HUB REPLACE,1.0
EOR/00000152/01/2023,SPNU2714096,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000152/01/2023,SPNU2714096,GASKET - GASKET AND STRIP RESECURE 90 CM,1.0
EOR/00000152/01/2023,SPNU2714096,DOORS - FRAME HORIZONTAL INSERT 15 CM,1.0
EOR/00000152/01/2023,SPNU2714096,GASKET - GASKET SECTION 150 CM,1.0
EOR/00000152/01/2023,SPNU2714096,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000152/01/2023,SPNU2714096,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000152/01/2023,SPNU2714096,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,2.0
EOR/00000152/01/2023,SPNU2714096,CROSS MEMBER - STRAIGHTEN,1.0
EOR/00000152/01/2023,SPNU2714096,CROSS MEMBER - INSERT 30 CM,1.0
EOR/00000152/01/2023,SPNU2714096,FLOORING - PLYWOOD SECTION 60X120 CM,2.0
EOR/00000152/01/2023,SPNU2714096,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000152/01/2023,SPNU2714096,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000153/01/2023,SPNU2801009,GASKET - GASKET SECTION 30 CM,3.0
EOR/00000153/01/2023,SPNU2801009,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000153/01/2023,SPNU2801009,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000153/01/2023,SPNU2801009,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000153/01/2023,SPNU2801009,PANEL - WELD 15 CM,1.0
EOR/00000153/01/2023,SPNU2801009,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000153/01/2023,SPNU2801009,PANEL - WELD 15 CM,1.0
EOR/00000153/01/2023,SPNU2801009,PANEL - WELD 15 CM,1.0
EOR/00000153/01/2023,SPNU2801009,PANEL - WELD 15 CM,3.0
EOR/00000154/01/2023,SPNU2693481,DOORS - FRAME VERTICAL SECTION 15 CM,2.0
EOR/00000154/01/2023,SPNU2693481,PANEL - WELD 15 CM,6.0
EOR/00000154/01/2023,SPNU2693481,PANEL - INSERT / PATCH 15X15 CM,1.0
EOR/00000154/01/2023,SPNU2693481,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000154/01/2023,SPNU2693481,PANEL - WELD 15 CM,6.0
EOR/00000154/01/2023,SPNU2693481,CROSS MEMBER - REPLACE,2.0
EOR/00000154/01/2023,SPNU2693481,PANEL - WELD 15 CM,5.0
EOR/00000154/01/2023,SPNU2693481,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,2.0
EOR/00000154/01/2023,SPNU2693481,OTHER MARKING - REMOVE MARKING LABEL,1.0
EOR/00000154/01/2023,SPNU2693481,DOOR HARDWARE - HANDLE RETAINER REPLACE,1.0
EOR/00000154/01/2023,SPNU2693481,GASKET - STRIP SECTION 60 CM,1.0
EOR/00000154/01/2023,SPNU2693481,GASKET - GASKET AND STRIP RESECURE 90 CM,2.0
EOR/00000154/01/2023,SPNU2693481,HINGE - STRAIGHTEN,6.0
EOR/00000154/01/2023,SPNU2693481,HINGE - REMOVE / REFIT,1.0
EOR/00000154/01/2023,SPNU2693481,GASKET - GASKET SEALING 120 CM,4.0
EOR/00000154/01/2023,SPNU2693481,ISO MARKING - OWNERS CODE REPLACE,2.0
EOR/00000154/01/2023,SPNU2693481,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,2.0
EOR/00000156/01/2023,SPNU2758540,GASKET - GASKET AND STRIP RESECURE 30 CM,1.0
EOR/00000156/01/2023,SPNU2758540,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,2.0
EOR/00000156/01/2023,SPNU2758540,FLOORING - PLYWOOD / PLANK SANDING 5%,1.0
EOR/00000156/01/2023,SPNU2758540,FLOORING - PLYWOOD / PLANK SANDING 5%,1.0
EOR/00000156/01/2023,SPNU2758540,GASKET - GASKET SECTION 30 CM,3.0
EOR/00000156/01/2023,SPNU2758540,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000156/01/2023,SPNU2758540,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000156/01/2023,SPNU2758540,PANEL - WELD 15 CM,1.0
EOR/00000156/01/2023,SPNU2758540,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000157/01/2023,SPNU2713778,GASKET - GASKET AND STRIP RESECURE 60 CM,1.0
EOR/00000157/01/2023,SPNU2713778,GASKET - GASKET AND STRIP RESECURE 30 CM,1.0
EOR/00000157/01/2023,SPNU2713778,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000157/01/2023,SPNU2713778,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000157/01/2023,SPNU2713778,PANEL - WELD 15 CM,1.0
EOR/00000157/01/2023,SPNU2713778,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000157/01/2023,SPNU2713778,DOOR SILL - STRAIGHTEN 60 CM,1.0
EOR/00000157/01/2023,SPNU2713778,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000157/01/2023,SPNU2713778,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000157/01/2023,SPNU2713778,PANEL - INSERT / PATCH 30X30 CM,2.0
EOR/00000158/01/2023,SPNU2815039,FLOORING - PLYWOOD SECTION 120X120 CM,1.0
EOR/00000158/01/2023,SPNU2815039,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000158/01/2023,SPNU2815039,CROSS MEMBER - WELD,1.0
EOR/00000158/01/2023,SPNU2815039,DOORS - FRAME STRAIGHTEN 30 CM,1.0
EOR/00000158/01/2023,SPNU2815039,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000158/01/2023,SPNU2815039,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000158/01/2023,SPNU2815039,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,2.0
EOR/00000158/01/2023,SPNU2815039,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000158/01/2023,SPNU2815039,FLOORING - PLYWOOD SECTION 90X120 CM,1.0
EOR/00000158/01/2023,SPNU2815039,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000158/01/2023,SPNU2815039,ISO MARKING - OWNERS CODE REPLACE,2.0
EOR/00000158/01/2023,SPNU2815039,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,2.0
EOR/00000158/01/2023,SPNU2815039,PANEL - WELD 15 CM,5.0
EOR/00000159/01/2023,SPNU2735057,PANEL - STRAIGHTEN 30X30 CM,1.0
EOR/00000159/01/2023,SPNU2735057,DOORS - FRAME STRAIGHTEN 60 CM,1.0
EOR/00000159/01/2023,SPNU2735057,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000159/01/2023,SPNU2735057,CROSS MEMBER - STRAIGHTEN,3.0
EOR/00000159/01/2023,SPNU2735057,DOOR HARDWARE - LOCKING BAR HANDLE STRAIGHTEN,1.0
EOR/00000159/01/2023,SPNU2735057,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000159/01/2023,SPNU2735057,FLOORING - PLYWOOD PATCH BY PLATE 30X30 CM,1.0
EOR/00000159/01/2023,SPNU2735057,FLOORING - PLYWOOD REPLACE 120X240 CM,1.0
EOR/00000159/01/2023,SPNU2735057,FLOORING - PLYWOOD SECTION 120X120 CM,1.0
EOR/00000159/01/2023,SPNU2735057,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,2.0
EOR/00000159/01/2023,SPNU2735057,CROSS MEMBER - STRAIGHTEN,1.0
EOR/00000159/01/2023,SPNU2735057,CROSS MEMBER - REPLACE,1.0
EOR/00000159/01/2023,SPNU2735057,DOOR SILL - INSERT 90 CM,1.0
EOR/00000159/01/2023,SPNU2735057,GASKET - GASKET SECTION 90 CM,1.0
EOR/00000159/01/2023,SPNU2735057,GASKET - GASKET SECTION 60 CM,1.0
EOR/00000159/01/2023,SPNU2735057,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000159/01/2023,SPNU2735057,DOOR HARDWARE - LOCKING BAR GUIDE STRAIGHTEN,1.0
EOR/00000160/01/2023,SPNU2715045,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000160/01/2023,SPNU2715045,GASKET - STRIP REPLACE 120 CM,1.0
EOR/00000160/01/2023,SPNU2715045,GASKET - GASKET SECTION 120 CM,1.0
EOR/00000160/01/2023,SPNU2715045,GASKET - GASKET SECTION 30 CM,3.0
EOR/00000160/01/2023,SPNU2715045,HINGE - STRAIGHTEN,6.0
EOR/00000160/01/2023,SPNU2715045,CROSS MEMBER - STRAIGHTEN,3.0
EOR/00000160/01/2023,SPNU2715045,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,4.0
EOR/00000160/01/2023,SPNU2715045,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000160/01/2023,SPNU2715045,PANEL - WELD 15 CM,1.0
EOR/00000162/01/2023,SPNU2847587,PANEL - WELD 15 CM,1.0
EOR/00000162/01/2023,SPNU2847587,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000162/01/2023,SPNU2847587,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,4.0
EOR/00000162/01/2023,SPNU2847587,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000162/01/2023,SPNU2847587,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000162/01/2023,SPNU2847587,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000162/01/2023,SPNU2847587,GASKET - GASKET SECTION 45 CM,2.0
EOR/00000162/01/2023,SPNU2847587,GASKET - STRIP REPLACE 120 CM,1.0
EOR/00000162/01/2023,SPNU2847587,PANEL - STRAIGHTEN 60X60 CM,1.0
EOR/00000166/01/2023,SPNU2822038,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000166/01/2023,SPNU2822038,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000166/01/2023,SPNU2822038,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000166/01/2023,SPNU2822038,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000166/01/2023,SPNU2822038,TOP RAIL - WELD 15 CM,1.0
EOR/00000166/01/2023,SPNU2822038,PANEL - WELD 15 CM,2.0
EOR/00000166/01/2023,SPNU2822038,PANEL - STRAIGHTEN 60X90 CM,1.0
EOR/00000166/01/2023,SPNU2822038,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000167/01/2023,SPNU2983840,OTHER MARKING - REMOVE CARGO LASHING ( SEMEN/KAYU/ETC),1.0
EOR/00000167/01/2023,SPNU2983840,VENTILATOR - SEALING,1.0
EOR/00000167/01/2023,SPNU2983840,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,2.0
EOR/00000169/01/2023,SPNU2779646,PANEL - WELD 15 CM,1.0
EOR/00000169/01/2023,SPNU2779646,PANEL - INSERT / PATCH 30X45 CM,1.0
EOR/00000169/01/2023,SPNU2779646,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000169/01/2023,SPNU2779646,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000169/01/2023,SPNU2779646,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000169/01/2023,SPNU2779646,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000169/01/2023,SPNU2779646,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000169/01/2023,SPNU2779646,PANEL - WELD 15 CM,4.0
EOR/00000170/01/2023,SPNU2806382,FORKLIFT POCKET - WEB STRAIGHTEN,1.0
EOR/00000170/01/2023,SPNU2806382,FLOORING - PLYWOOD SECTION 60X120 CM,2.0
EOR/00000170/01/2023,SPNU2806382,FLOORING - PLYWOOD / PLANK RESECURE UP TO 6 SCREW,1.0
EOR/00000170/01/2023,SPNU2806382,GASKET - GASKET SECTION 30 CM,4.0
EOR/00000170/01/2023,SPNU2806382,ISO MARKING - OWNERS CODE REPLACE,2.0
EOR/00000170/01/2023,SPNU2806382,CROSS MEMBER - STRAIGHTEN,2.0
EOR/00000170/01/2023,SPNU2806382,CROSS MEMBER - INSERT 30 CM,2.0
EOR/00000170/01/2023,SPNU2806382,PANEL - WELD 15 CM,1.0
EOR/00000170/01/2023,SPNU2806382,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,2.0
EOR/00000170/01/2023,SPNU2806382,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000170/01/2023,SPNU2806382,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000170/01/2023,SPNU2806382,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000172/01/2023,SPNU2920667,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000172/01/2023,SPNU2920667,DOOR HARDWARE - HANDLE RETAINER STRAIGHTEN,2.0
EOR/00000172/01/2023,SPNU2920667,HINGE - STRAIGHTEN,4.0
EOR/00000172/01/2023,SPNU2920667,DOOR SILL - STRAIGHTEN 60 CM,1.0
EOR/00000172/01/2023,SPNU2920667,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000172/01/2023,SPNU2920667,PANEL - STRAIGHTEN 90X90 CM,2.0
EOR/00000172/01/2023,SPNU2920667,"CROSS MEMBER - STRAIGHTEN, WELD",2.0
EOR/00000172/01/2023,SPNU2920667,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000172/01/2023,SPNU2920667,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,3.0
EOR/00000173/01/2023,SPNU4608344,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000173/01/2023,SPNU4608344,GASKET - GASKET SEALING 15 CM,1.0
EOR/00000173/01/2023,SPNU4608344,GASKET - STRIP REPLACE 120 CM,2.0
EOR/00000173/01/2023,SPNU4608344,FLOORING - PLYWOOD PATCH BY PLATE 30X30 CM,1.0
EOR/00000173/01/2023,SPNU4608344,PANEL - WELD 15 CM,1.0
EOR/00000173/01/2023,SPNU4608344,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000173/01/2023,SPNU4608344,DOORS - FRAME HORIZONTAL INSERT 15 CM,1.0
EOR/00000173/01/2023,SPNU4608344,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,2.0
EOR/00000174/01/2023,SPNU2963210,CROSS MEMBER - STRAIGHTEN,2.0
EOR/00000174/01/2023,SPNU2963210,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,1.0
EOR/00000174/01/2023,SPNU2963210,DOOR HARDWARE - LOCKING BAR KEEPER WELD,1.0
EOR/00000174/01/2023,SPNU2963210,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000174/01/2023,SPNU2963210,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000174/01/2023,SPNU2963210,DOOR HARDWARE - LOCKING BAR KEEPER STRAIGHTEN,1.0
EOR/00000175/01/2023,SPNU3089922,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,2.0
EOR/00000175/01/2023,SPNU3089922,DOOR SILL - STRAIGHTEN 90 CM,1.0
EOR/00000175/01/2023,SPNU3089922,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000175/01/2023,SPNU3089922,TOP RAIL - INSERT 30 CM,1.0
EOR/00000175/01/2023,SPNU3089922,PANEL - WELD 15 CM,1.0
EOR/00000176/01/2023,SPNU2667543,OTHER MARKING - REMOVE MARKING LABEL,1.0
EOR/00000176/01/2023,SPNU2667543,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000176/01/2023,SPNU2667543,GASKET - GASKET SEALING 5 CM,6.0
EOR/00000176/01/2023,SPNU2667543,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000176/01/2023,SPNU2667543,PANEL - WELD 15 CM,3.0
EOR/00000176/01/2023,SPNU2667543,FLOORING - PLYWOOD PATCH BY PLATE 30X30 CM,1.0
EOR/00000176/01/2023,SPNU2667543,FLOORING - HAT SECTION SECTION 30 CM,1.0
EOR/00000176/01/2023,SPNU2667543,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000176/01/2023,SPNU2667543,CROSS MEMBER - STRAIGHTEN,5.0
EOR/00000176/01/2023,SPNU2667543,FORKLIFT POCKET - WEB REPLACE,1.0
EOR/00000176/01/2023,SPNU2667543,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,2.0
EOR/00000177/01/2023,SPNU2668196,DOOR HEADER - WELD 15 CM,2.0
EOR/00000177/01/2023,SPNU2668196,GASKET - GASKET REPLACE 240 CM,1.0
EOR/00000177/01/2023,SPNU2668196,BOTTOM RAIL - INSERT 30 CM,1.0
EOR/00000177/01/2023,SPNU2668196,GASKET - GASKET SEALING 120 CM,2.0
EOR/00000177/01/2023,SPNU2668196,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,2.0
EOR/00000177/01/2023,SPNU2668196,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,2.0
EOR/00000177/01/2023,SPNU2668196,ISO MARKING - OWNERS CODE REPLACE,2.0
EOR/00000177/01/2023,SPNU2668196,PANEL - WELD 15 CM,5.0
EOR/00000177/01/2023,SPNU2668196,CROSS MEMBER - STRAIGHTEN,2.0
EOR/00000177/01/2023,SPNU2668196,PANEL - INSERT / PATCH 30X75 CM,1.0
EOR/00000177/01/2023,SPNU2668196,PANEL - WELD 15 CM,6.0
EOR/00000177/01/2023,SPNU2668196,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,4.0
EOR/00000177/01/2023,SPNU2668196,GASKET - GASKET AND STRIP RESECURE 60 CM,1.0
EOR/00000177/01/2023,SPNU2668196,PANEL - INSERT / PATCH 15X30 CM,1.0
EOR/00000177/01/2023,SPNU2668196,PANEL - INSERT / PATCH 15X90 CM,1.0
EOR/00000177/01/2023,SPNU2668196,PANEL - WELD 15 CM,6.0
EOR/00000177/01/2023,SPNU2668196,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000177/01/2023,SPNU2668196,HINGE - STRAIGHTEN,4.0
EOR/00000177/01/2023,SPNU2668196,GASKET - GASKET SECTION 90 CM,3.0
EOR/00000177/01/2023,SPNU2668196,CROSS MEMBER - INSERT 60 CM,1.0
EOR/00000185/01/2023,SPNU2823287,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000185/01/2023,SPNU2823287,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000185/01/2023,SPNU2823287,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,2.0
EOR/00000185/01/2023,SPNU2823287,DOOR HARDWARE - LOCKING BAR KEEPER STRAIGHTEN,1.0
EOR/00000185/01/2023,SPNU2823287,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000185/01/2023,SPNU2823287,FLOORING - PLYWOOD SECTION 120X180CM,3.0
EOR/00000185/01/2023,SPNU2823287,FLOORING - PLYWOOD SECTION 90X120 CM,1.0
EOR/00000185/01/2023,SPNU2823287,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000185/01/2023,SPNU2823287,CROSS MEMBER - INSERT 30 CM,1.0
EOR/00000185/01/2023,SPNU2823287,"PANEL - STRAIGHTEN, WELD 15 CM",2.0
EOR/00000185/01/2023,SPNU2823287,CROSS MEMBER - STRAIGHTEN,1.0
EOR/00000188/01/2023,SPNU2699031,PANEL - STRAIGHTEN 30X60 CM,1.0
EOR/00000188/01/2023,SPNU2699031,CROSS MEMBER - REPLACE,1.0
EOR/00000188/01/2023,SPNU2699031,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000188/01/2023,SPNU2699031,GASKET - GASKET SEALING 5 CM,5.0
EOR/00000188/01/2023,SPNU2699031,GASKET - GASKET SECTION 120 CM,1.0
EOR/00000188/01/2023,SPNU2699031,DOOR HARDWARE - HANDLE CATCH REPLACE,1.0
EOR/00000188/01/2023,SPNU2699031,PANEL - WELD 15 CM,4.0
EOR/00000188/01/2023,SPNU2699031,VENTILATOR - PLASTIC SMALL REPLACE,1.0
EOR/00000188/01/2023,SPNU2699031,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000188/01/2023,SPNU2699031,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000188/01/2023,SPNU2699031,DOOR HARDWARE - LOCKING BAR GUIDE STRAIGHTEN,3.0
EOR/00000190/01/2023,SPNU2685969,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,4.0
EOR/00000190/01/2023,SPNU2685969,PANEL - WELD 15 CM,3.0
EOR/00000190/01/2023,SPNU2685969,PANEL - WELD 15 CM,2.0
EOR/00000190/01/2023,SPNU2685969,ISO MARKING - OWNERS CODE REPLACE,1.0
EOR/00000190/01/2023,SPNU2685969,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000190/01/2023,SPNU2685969,FLOORING - PLYWOOD SECTION 120X150 CM,1.0
EOR/00000190/01/2023,SPNU2685969,FORKLIFT POCKET - WEB REPLACE,1.0
